LECROYWR104Xi-A,51949,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,05-Oct-2023 10:22:38,0                 
Time,Ampl
3.0685034e-006,0.0192473
3.0686034e-006,0.0231222
3.0687034e-006,0.0226222
3.0688034e-006,0.0256221
3.0689034e-006,0.0372466
3.0690034e-006,0.055121
3.0691034e-006,0.0666205
3.0692034e-006,0.0661205
3.0693034e-006,0.0653706
3.0694034e-006,0.0666205
3.0695034e-006,0.0623707
3.0696034e-006,0.054996
3.0697034e-006,0.0478712
3.0698034e-006,0.0377466
3.0699034e-006,0.0228722
3.0700034e-006,0.00887274
3.0701034e-006,0.00574786
3.0702034e-006,0.0113726
3.0703034e-006,0.0169974
3.0704034e-006,0.0206223
3.0705034e-006,0.0248721
3.0706034e-006,0.028747
3.0707034e-006,0.027122
3.0708034e-006,0.0207473
3.0709034e-006,0.0161225
3.0710034e-006,0.0149975
3.0711034e-006,0.00912273
3.0712034e-006,-0.00662667
3.0713034e-006,-0.0193762
3.0714034e-006,-0.0162513
3.0715034e-006,-0.00212684
3.0716034e-006,0.0111227
3.0717034e-006,0.0152475
3.0718034e-006,0.0072478
3.0719034e-006,-0.00487673
3.0720034e-006,-0.00637668
3.0721034e-006,0.0047479
3.0722034e-006,0.0164974
3.0723034e-006,0.0198723
3.0724034e-006,0.0152475
3.0725034e-006,0.0102477
3.0726034e-006,0.0119976
3.0727034e-006,0.0198723
3.0728034e-006,0.0304969
3.0729034e-006,0.0408715
3.0730034e-006,0.0421215
3.0731034e-006,0.0309969
3.0732034e-006,0.0179974
3.0733034e-006,0.0127476
3.0734034e-006,0.0148725
3.0735034e-006,0.0168724
3.0736034e-006,0.0138725
3.0737034e-006,0.00887274
3.0738034e-006,0.00562286
3.0739034e-006,0.00324796
3.0740034e-006,-0.000876886
3.0741034e-006,-0.00600169
3.0742034e-006,-0.00862659
3.0743034e-006,-0.00625168
3.0744034e-006,0.00137303
3.0745034e-006,0.0142475
3.0746034e-006,0.0298719
3.0747034e-006,0.0408715
3.0748034e-006,0.0429964
3.0749034e-006,0.0398715
3.0750034e-006,0.0358717
3.0751034e-006,0.027997
3.0752034e-006,0.0168724
3.0753034e-006,0.0099977
3.0754034e-006,0.00637284
3.0755034e-006,0.002123
3.0756034e-006,0.00112304
3.0757034e-006,0.00587285
3.0758034e-006,0.0118726
3.0759034e-006,0.0112476
3.0760034e-006,0.001998
3.0761034e-006,-0.0120015
3.0762034e-006,-0.023376
3.0763034e-006,-0.025251
3.0764034e-006,-0.0183762
3.0765034e-006,-0.00737664
3.0766034e-006,0.00424792
